שם המפלגה,קולות מקוריים,רשימת גיבוי
העבודה,190870,מרצ
יהדות התורה,249049,שס
רשימת דעם,143666,אין
"חד""ש תע""ל",193442,אין
רשימת ז,118031,אין
רשימת זי,1168,אין
רשימת זך,216,אין
רשימת זץ,2417,אין
רשימת טב,159468,אין
רשימת י,1438,אין
הכלכלית החדשה,353,אין
רשימת ין,265,אין
רשימת יץ,428,אין
רשימת כ,152756,אין
רשימת ךק,562,אין
ישראל ביתנו,173004,אין
הליכוד,1140370,הציונות הדתית
מרצ,156473,העבודה
רשימת נ,138598,אין
רשימת נז,1316,אין
רשימת נץ,3394,אין
רשימת נר,74701,אין
רשימת ן,4618,אין
רשימת ןך,404,אין
רשימת ןנ,385,אין
יש עתיד,1125881,המחנה הממלכתי
רשימת ףז,819,אין
רשימת ףי,733,אין
רשימת ףך,518,אין
רשימת ףנ,401,אין
רשימת ףץ,624,אין
רשימת צק,3843,אין
רשימת ץ,556,אין
רשימת ץי,368,אין
רשימת ק,3281,אין
רשימת קי,701,אין
רשימת קן,603,אין
רשימת קף,1140,אין
רשימת ר,4135,אין
שס,258275,יהדות התורה
