שם המפלגה,קולות מקוריים,מנדטים סופיים,סטטוס כניסה
הליכוד,1066892,29,עברה ישירות בקלפי
יש עתיד,614112,17,עברה ישירות בקלפי
שס,316008,9,עברה ישירות בקלפי
העבודה,268767,7,עברה ישירות בקלפי
הבית היהודי,273836,7,עברה ישירות בקלפי
המחנה הממלכתי,292257,7,עברה ישירות בקלפי
יהדות התורה,248391,6,עברה ישירות בקלפי
הציונות הדתית,225641,6,עברה ישירות בקלפי
ישראל ביתנו,248370,6,עברה ישירות בקלפי
רשימת ודעם,212583,5,עברה ישירות בקלפי
מרצ,202218,5,עברה ישירות בקלפי
רשימת ת,209161,5,עברה ישירות בקלפי
"רע""מ",167064,4,עברה ישירות בקלפי
רשימת י,811,1,נכנסה כמושב מחאה פנוי
הכלכלית החדשה,34883,1,נכנסה כמושב מחאה פנוי
רשימת כך,1291,1,נכנסה כמושב מחאה פנוי
רשימת ףז,1309,1,נכנסה כמושב מחאה פנוי
רשימת קץ,729,1,נכנסה כמושב מחאה פנוי
רשימת ר,17346,1,נכנסה כמושב מחאה פנוי
רשימת רנ,1189,1,נכנסה כמושב מחאה פנוי
