שם המפלגה,קולות מקוריים,מנדטים סופיים,סטטוס כניסה
הליכוד,1115336,28,עברה ישירות בקלפי
יש עתיד,847435,21,עברה ישירות בקלפי
הציונות הדתית,516470,13,עברה ישירות בקלפי
המחנה הממלכתי,432482,11,עברה ישירות בקלפי
שס,392964,10,עברה ישירות בקלפי
העבודה,175992,8,עברה ישירות בקלפי
יהדות התורה,280194,7,עברה ישירות בקלפי
ישראל ביתנו,213687,5,עברה ישירות בקלפי
"רע""מ",194047,4,עברה ישירות בקלפי
"חד""ש תע""ל",178735,4,עברה ישירות בקלפי
מרצ,150793,3,נכנסה כמושב מחאה פנוי
"בל""ד",138617,3,נכנסה כמושב מחאה פנוי
הבית היהודי,56775,3,נכנסה כמושב מחאה פנוי
